,frequency,bigram,textblob-sentiment,textblob-sentiment-analysis,vader-sentiment,vader-sentiment-analysis
0,679,customer service,0.0,Neutral,0.0,Neutral
1,600,skin tone,0.0,Neutral,0.0,Neutral
2,545,cheap flights,0.4,Positivo,0.0,Neutral
3,537,us cheap,0.4,Positivo,0.0,Neutral
4,476,clapping hands,0.0,Neutral,0.0,Neutral
5,423,get vaccinated,0.0,Neutral,0.0,Neutral
6,407,vaccine mandate,0.0,Neutral,0.0,Neutral
7,396,employees vaccinated,0.0,Neutral,0.0,Neutral
8,387,smiling face,0.0,Neutral,0.4588,Positivo
9,380,tears joy,0.8,Positivo,0.4404,Positivo
10,377,face tears,0.0,Neutral,-0.2263,Negativo
11,329,us employees,0.0,Neutral,0.0,Neutral
12,326,united states,0.0,Neutral,0.4215,Positivo
13,321,employees get,0.0,Neutral,0.0,Neutral
14,319,flight attendants,0.0,Neutral,0.0,Neutral
15,301,eyes airplane,0.0,Neutral,0.0,Neutral
16,295,high volume,0.16,Positivo,0.0,Neutral
17,294,speaker high,0.16,Positivo,0.0,Neutral
18,291,airplane speaker,0.0,Neutral,0.0,Neutral
19,287,covid vaccine,0.0,Neutral,0.0,Neutral
20,254,nited tates,0.0,Neutral,0.0,Neutral
21,246,red heart,0.0,Neutral,0.6369,Positivo
22,232,roundtrip travel,0.0,Neutral,0.0,Neutral
23,227,flight attendant,0.2,Positivo,0.0,Neutral
24,213,first class,0.25,Positivo,0.0,Neutral
